symbol,timeframe,horizon_hours,horizon_bars,threshold,label_style,n_features,n,neutral_pct,up_pct,down_pct,balance,score,edge,n_folds,n_active_folds,med_accuracy,med_return,med_sharpe,med_win_rate,med_trades,prof_folds,reason
ADA/USD,1d,48,2,0.005,ternary,105,1625,0.2043076923076923,0.3710769230769231,0.4246153846153846,0.9327146172539356,11.113291049667756,True,2.0,1.0,0.4268292682926829,0.07062247828751825,1.6267056838140974,0.6,5.0,1.0,passes_all
LTC/USD,2h,8,4,0.005,ternary,105,21700,0.4438248847926267,0.2826728110599078,0.27350230414746546,0.9835114757111444,11.077642548504752,True,2.0,1.0,0.42483296213808464,0.01639113882910915,0.830983305743061,0.6666666666666666,3.0,1.0,passes_all
LTC/USD,2h,24,12,0.035,ternary,105,21700,0.7588018433179724,0.11912442396313364,0.122073732718894,0.987772258361739,11.065718191738616,True,2.0,2.0,0.659521158129176,0.04445047149095562,0.41609770474038166,0.43394648829431437,24.5,1.0,passes_all
ARB/USD,1h,8,8,0.025,ternary,105,25534,0.7894571943291298,0.10311741207801363,0.10742539359285658,0.9795386905733741,10.999204968278656,True,2.0,2.0,0.5938312455684236,0.018959543542121992,0.39758005691018544,0.41833333333333333,47.5,2.0,passes_all
DOGE/USD,8h,24,3,0.005,ternary,105,5275,0.2885308056872038,0.33649289099526064,0.37497630331753556,0.9459099387917199,10.91386877732067,False,2.0,1.0,0.3298245614035088,0.05441446006213955,1.2138687773206698,0.75,4.0,1.0,acc=0.33<0.36
ADA/USD,1h,4,4,0.012,ternary,105,43582,0.7350052774081043,0.13175164058556285,0.1332430820063329,0.9943718071041032,10.800962652545048,True,2.0,2.0,0.5540820555325321,0.024133735247103594,0.8359882085610733,0.5555555555555556,6.0,1.0,passes_all
SOL/USD,4h,8,2,0.005,ternary,105,10750,0.41469767441860467,0.2948837209302326,0.2904186046511628,0.9923712651115717,10.773380969938694,True,2.0,1.0,0.38256932654216186,0.05004985633061151,1.371994439095458,0.6666666666666666,3.0,1.0,passes_all
ETH/USD,4h,24,6,0.035,ternary,105,10750,0.7890232558139535,0.10995348837209303,0.1010232558139535,0.9576719578725866,10.722229763421923,True,1.0,1.0,0.622524052065648,0.024335122466850406,0.396748722108964,0.375,8.0,1.0,passes_all
XRP/USD,4h,12,3,0.005,ternary,105,10750,0.4358139534883721,0.27813953488372095,0.28604651162790695,0.985985160783291,10.719208543690115,True,2.0,1.0,0.42331635540464063,0.03415753070798255,0.5028814355973031,0.6666666666666666,3.0,1.0,passes_all
TRX/USD,2h,8,4,0.012,ternary,105,21700,0.7761290322580645,0.1131336405529954,0.1107373271889401,0.9892960066348861,10.712209951595536,True,2.0,2.0,0.5555400890868597,0.01416284474488657,0.40140816985834227,0.45,12.0,2.0,passes_all
LINK/USD,2h,24,12,0.035,ternary,105,21691,0.6797289198285003,0.16596745193859205,0.15430362823290766,0.9635814021577596,10.642745369453726,True,2.0,1.0,0.45586187691450847,0.21281085865512905,1.6945554502111766,0.49206349206349204,63.0,1.0,passes_all
LTC/USD,2h,8,4,0.018,ternary,105,21700,0.7750691244239631,0.11115207373271889,0.11377880184331797,0.9883220652025018,10.581615548980832,False,1.0,1.0,0.6734409799554566,0.009282273546232319,0.3127959498717003,0.25,4.0,1.0,wr=0.25<0.36
RUNE/USD,4h,12,3,0.005,ternary,105,10750,0.30111627906976746,0.3387906976744186,0.36009302325581394,0.969519499577754,10.559748413974551,True,2.0,1.0,0.3746462931522354,0.08076040299838295,1.3168225509298443,0.6666666666666666,3.0,1.0,passes_all
UNI/USD,4h,12,3,0.005,ternary,105,543,0.23572744014732966,0.3738489871086556,0.39042357274401474,0.9783132530404238,10.55,False,2.0,1.0,0.30303030303030304,0.02321853266103899,4.047530847084412,0.6,5.0,1.0,acc=0.30<0.36
BCH/USD,1h,12,12,0.025,ternary,105,43600,0.7605045871559633,0.12204128440366972,0.11745412844036697,0.980846581194703,10.52460379818631,True,2.0,1.0,0.5180889257111295,0.07975308599581912,1.0022989681742456,0.4473684210526316,76.0,1.0,passes_all
LTC/USD,4h,8,2,0.005,ternary,105,10750,0.49386046511627907,0.2576744186046512,0.24846511627906978,0.9818048153272557,10.523558137050186,True,2.0,1.0,0.42614601018675724,0.0810050158941449,1.2792093618864704,0.5714285714285714,7.0,1.0,passes_all
XRP/USD,4h,8,2,0.012,ternary,105,10750,0.7248372093023255,0.13627906976744186,0.13888372093023255,0.9905341447267607,10.469137924547391,True,2.0,2.0,0.446236559139785,0.04551567376101411,1.075789720475097,0.5345744680851063,27.5,2.0,passes_all
DOT/USD,2h,4,2,0.012,ternary,105,21700,0.7662672811059907,0.11622119815668203,0.1175115207373272,0.9944794952917576,10.430874122809735,False,1.0,1.0,0.6753897550111359,0.0037845974323565314,0.17307902258701763,0.3333333333333333,3.0,1.0,"wr=0.33<0.36, sharpe=0.17<0.2"
LTC/USD,1h,4,4,0.008,ternary,105,43595,0.6523454524601445,0.1751577015712811,0.17249684596857437,0.9923462655274258,10.41415699321869,True,2.0,1.0,0.5294848777793123,0.018886702113312823,0.8119594376324436,0.4375,16.0,1.0,passes_all
