symbol,timeframe,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,n_bars
INJ/USD,8h,0.38181818181818183,-0.087983524239287,-1.9647790333948865,-0.336717483135826,0.26969696969696966,12.5,5475
MATIC/USD,8h,0.38181818181818183,-0.03114316993169086,-0.9459355223308628,-0.4003867404248746,0.29166666666666663,8.0,3883
LINK/USD,1h,0.37727272727272726,-0.03126173642150006,-0.7730955782183208,-0.3688794143154594,0.2857142857142857,8.0,43787
SOL/USD,1h,0.3765151515151515,-0.035771897870196155,-0.29062930111589097,-0.3463763317515149,0.2857142857142857,14.0,43787
ADA/USD,1h,0.37575757575757573,-0.010886543625886043,-0.20424741764054355,-0.2440585902257129,0.35294117647058826,13.0,43787
ETH/USD,2h,0.37575757575757573,-0.06182949588654319,-2.3749291721618317,-0.35620095124217405,0.2777777777777778,14.0,21896
DOGE/USD,1h,0.37272727272727274,-0.0160158498042927,0.0,-0.29845545121476313,0.35294117647058826,14.0,43787
XRP/USD,8h,0.3696969696969697,-0.027999322708084674,-2.1565576074157007,-0.2760408837848141,0.2631578947368421,7.0,5475
ADA/USD,8h,0.36363636363636365,-0.02255312978311431,-0.2581627414608907,-0.5134103671351602,0.30666666666666664,9.0,5475
MATIC/USD,1h,0.35833333333333334,0.023343445801794222,0.7505269381834743,-0.2821327105164425,0.4117647058823529,10.0,31052
BTC/USD,4h,0.35757575757575755,-0.037143493448839576,-1.8173397613124236,-0.21098971585978124,0.25,7.0,10950
BTC/USD,8h,0.35757575757575755,-0.03648019277939393,-3.22282879236858,-0.2001911387938714,0.25,5.0,5475
BTC/USD,2h,0.3515151515151515,0.0,0.0,-0.22407480481799405,0.3333333333333333,7.0,21896
XRP/USD,1h,0.34545454545454546,0.0,0.0,-0.3815587768061638,0.36585365853658536,14.0,43787
ETH/USD,1h,0.32651515151515154,-0.0603738072901886,-0.9578699644147378,-0.28024701551043263,0.3333333333333333,13.0,43787
BTC/USD,1h,0.3015151515151515,-0.0811707283684529,-1.4622760405327913,-0.2792834731098329,0.36363636363636365,12.0,43787
