2026-04-16 17:30:45.777 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  72 | val_loss=1.0293 | val_acc=0.5103 | bal_acc=0.3645 | lr=0.000125
2026-04-16 17:30:46.148 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  73 | val_loss=1.0504 | val_acc=0.4914 | bal_acc=0.3747 | lr=0.000063
2026-04-16 17:30:46.457 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  74 | val_loss=1.0470 | val_acc=0.4880 | bal_acc=0.3745 | lr=0.000063
2026-04-16 17:30:46.775 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  75 | val_loss=1.0518 | val_acc=0.4863 | bal_acc=0.3772 | lr=0.000063
2026-04-16 17:30:47.094 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  76 | val_loss=1.0488 | val_acc=0.4914 | bal_acc=0.3818 | lr=0.000063
2026-04-16 17:30:47.407 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  77 | val_loss=1.0393 | val_acc=0.4914 | bal_acc=0.3699 | lr=0.000063
2026-04-16 17:30:47.726 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  78 | val_loss=1.0328 | val_acc=0.5017 | bal_acc=0.3779 | lr=0.000063
2026-04-16 17:30:48.024 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  79 | val_loss=1.0392 | val_acc=0.5017 | bal_acc=0.3800 | lr=0.000063
2026-04-16 17:30:48.024 | INFO     | models.lstm_ensemble:_train_one:687 -     Early stop at epoch 79 (best bal_acc=0.4373)
2026-04-16 17:30:48.030 | INFO     | models.lstm_ensemble:_train_one:698 -   [7/9] Best balanced_acc: 0.4373
2026-04-16 17:30:48.085 | INFO     | models.lstm_ensemble:_train_one:704 -   [7/9] Temperature T=2.081 (over-confident → spreading (T=2.08))
2026-04-16 17:30:48.165 | INFO     | models.lstm_ensemble:_train_one:519 -   [8/9] MultiStream: 6 groups × 48 hidden = 288 merged
2026-04-16 17:30:48.176 | INFO     | models.lstm_ensemble:_train_one:565 -   [8/9] Sampler label counts: DOWN=179 NEUTRAL=387 UP=190 → balanced batches
2026-04-16 17:30:48.176 | INFO     | models.lstm_ensemble:_train_one:600 -   [8/9] Class weights: uniform (sampler balances batches) | raw counts: DOWN=756 NEUTRAL=1592 UP=734
2026-04-16 17:30:48.176 | INFO     | models.lstm_ensemble:_train_one:612 -   [8/9] Training seed=1001 — 756 segments (stride=4, noise_σ=0.02)
2026-04-16 17:30:48.507 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   0 | val_loss=0.8203 | val_acc=0.2277 | bal_acc=0.3449 | lr=0.001000
2026-04-16 17:30:48.873 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   1 | val_loss=0.8320 | val_acc=0.2705 | bal_acc=0.3161 | lr=0.001000
2026-04-16 17:30:49.201 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   2 | val_loss=0.7210 | val_acc=0.4709 | bal_acc=0.3479 | lr=0.001000
2026-04-16 17:30:49.541 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   3 | val_loss=0.7076 | val_acc=0.4880 | bal_acc=0.3332 | lr=0.001000
2026-04-16 17:30:49.853 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   4 | val_loss=0.6984 | val_acc=0.5068 | bal_acc=0.3615 | lr=0.001000
2026-04-16 17:30:50.218 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   5 | val_loss=0.7367 | val_acc=0.3545 | bal_acc=0.3309 | lr=0.001000
2026-04-16 17:30:50.560 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   6 | val_loss=0.8521 | val_acc=0.2192 | bal_acc=0.3473 | lr=0.001000
2026-04-16 17:30:50.910 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   7 | val_loss=0.7114 | val_acc=0.4127 | bal_acc=0.3517 | lr=0.001000
2026-04-16 17:30:51.247 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   8 | val_loss=0.7131 | val_acc=0.4521 | bal_acc=0.3447 | lr=0.001000
2026-04-16 17:30:51.559 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch   9 | val_loss=0.6565 | val_acc=0.5445 | bal_acc=0.3811 | lr=0.001000
2026-04-16 17:30:51.890 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  10 | val_loss=0.7367 | val_acc=0.4127 | bal_acc=0.3434 | lr=0.001000
2026-04-16 17:30:52.227 | INFO     | models.lstm_ensemble:_train_one:676 -     Epoch  11 | val_loss=0.6690 | val_acc=0.5154 | bal_acc=0.3491 | lr=0.001000
