symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
MATIC/USD,8h,crypto,9,3653,2191,731,731,238,1695,258,17,0,5,0.0,-0.061,-2.793,-0.0645,0.2467,- LOSS,61.0
MATIC/USD,1d,crypto,9,1765,1059,353,353,57,912,90,0,3,1,0.0,-0.0157,-0.412,-0.0266,0.1263,TOO_FEW_TRADES,34.4
LTC/USD,4h,crypto,9,10750,6450,2150,2150,748,4971,731,0,30,8,0.5,0.0201,0.531,-0.0247,0.2373,+ MARGINAL,162.3
BCH/USD,4h,crypto,9,10750,6450,2150,2150,711,5005,734,78,39,38,0.2368,-0.1246,-2.178,-0.1272,0.3061,- LOSS,161.9
LINK/USD,4h,crypto,9,10750,6450,2150,2150,942,4460,1048,97,78,41,0.439,0.0288,0.34,-0.1097,0.3367,+ MARGINAL,162.0
LINK/USD,8h,crypto,9,5275,3165,1055,1055,290,2530,345,6,6,5,0.8,0.1478,1.838,-0.0337,0.2283,** STRONG,88.5
LINK/USD,1d,crypto,9,2405,1443,481,481,67,1289,87,0,0,0,0.0,0.0,0.0,0.0,0.1521,TOO_FEW_TRADES,41.5
DOGE/USD,4h,crypto,9,10750,6450,2150,2150,795,4834,821,13,170,47,0.4255,0.1289,1.199,-0.0612,0.3508,** STRONG,173.6
DOGE/USD,8h,crypto,9,5275,3165,1055,1055,232,2683,250,27,6,14,0.2857,-0.0457,-0.594,-0.0919,0.2736,- LOSS,92.5
DOGE/USD,1d,crypto,9,2235,1341,447,447,51,1213,77,0,0,0,0.0,0.0,0.0,0.0,0.0767,TOO_FEW_TRADES,42.8
ETC/USD,4h,crypto,9,10750,6450,2150,2150,824,4799,827,29,0,7,0.5714,0.0294,0.767,-0.0405,0.2158,+ MARGINAL,178.7
INJ/USD,4h,crypto,9,10750,6450,2150,2150,1111,4070,1269,241,3,48,0.3542,0.0335,0.31,-0.1083,0.382,+ MARGINAL,180.5
INJ/USD,8h,crypto,9,5275,3165,1055,1055,366,2375,424,22,17,10,0.2,-0.1127,-1.492,-0.1195,0.2825,- LOSS,93.8
INJ/USD,1d,crypto,9,1761,1056,352,353,52,925,79,0,0,0,0.0,0.0,0.0,0.0,0.1201,TOO_FEW_TRADES,33.2
ARB/USD,4h,crypto,9,6262,3757,1252,1253,487,2792,478,121,13,22,0.2727,-0.0748,-0.947,-0.1226,0.4004,- LOSS,100.7
ARB/USD,8h,crypto,9,3033,1819,607,607,145,1520,154,6,14,9,0.0,-0.1286,-2.721,-0.1286,0.2707,- LOSS,51.6
ARB/USD,1d,crypto,9,878,526,176,176,18,487,21,0,0,0,0.0,0.0,0.0,0.0,0.1064,TOO_FEW_TRADES,17.9
OP/USD,4h,crypto,9,8033,4819,1607,1607,766,3261,792,172,0,36,0.2778,-0.1279,-1.899,-0.1503,0.4005,- LOSS,123.4
OP/USD,8h,crypto,9,3918,2350,784,784,240,1857,253,22,0,3,0.0,-0.0336,-0.891,-0.0524,0.2517,TOO_FEW_TRADES,66.1
OP/USD,1d,crypto,9,1173,703,235,235,21,642,40,4,0,1,0.0,-0.0619,-1.4,-0.0814,0.1751,TOO_FEW_TRADES,22.8
RUNE/USD,4h,crypto,9,10750,6450,2150,2150,1242,3875,1333,97,31,35,0.3143,-0.0618,-0.689,-0.1303,0.3185,- LOSS,164.6
RUNE/USD,8h,crypto,9,5275,3165,1055,1055,403,2293,469,9,0,2,0.5,0.0082,0.191,-0.0459,0.1746,TOO_FEW_TRADES,87.0
RUNE/USD,1d,crypto,9,1808,1084,362,362,74,916,94,0,0,0,0.0,0.0,0.0,0.0,0.0973,TOO_FEW_TRADES,31.9
FIL/USD,4h,crypto,9,10750,6450,2150,2150,987,4607,856,18,19,10,0.3,-0.0046,-0.001,-0.1175,0.2435,- LOSS,164.5
