symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
MKR/USD,4h,crypto,9,3080,6,2,2025-02-13→2025-03-07 | 2025-03-08→2025-03-30 | 2025-03-31→2025-04-22 | 2025-04-23→2025-05-15 | 2025-05-16→2025-06-07 | 2025-06-08→2025-06-30,591,1911,578,2,0.3333,-0.0034,-0.0491,0.0915,-2.228,-2.168,1.12,-0.0059,8172258384.82,inf,inf,12.6713,-18.9172,3,0.2083,0.125,1,1,insufficient,40.6,0.9062,3.0,TOO_FEW_TRADES,39.1
ADA/USD,4h,crypto,9,4801,6,1,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-09→2026-04-13,850,3147,804,2,0.2222,-0.0014,-0.0142,0.0298,-1.536,-0.605,0.643,-0.0037,6539880911.318,inf,inf,9.9402,-12.4107,3,0.0556,0.1667,1,1,insufficient,40.1,0.9062,3.0,TOO_FEW_TRADES,54.9
COMP/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,200,1333,197,1,0.0833,-0.0011,-0.0272,0.0719,-0.911,-0.06,-2.909,-0.0029,0.307,inf,inf,9.5096,-20.074,1,0.0,0.0833,0,0,insufficient,40.1,0.875,3.0,TOO_FEW_TRADES,273.4
BTC/USD,1d,crypto,9,1729,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,81,1544,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,326.8
AVAX/USD,1d,crypto,9,1376,6,0,2025-04-14→2025-06-13 | 2025-06-14→2025-08-13 | 2025-08-14→2025-10-13 | 2025-10-14→2025-12-13 | 2025-12-14→2026-02-12 | 2026-02-13→2026-04-14,138,1069,169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,273.7
DOT/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,172,1386,172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,345.8
POL/USD,1d,crypto,9,564,6,0,2025-10-17→2025-11-15 | 2025-11-16→2025-12-15 | 2025-12-16→2026-01-14 | 2026-01-15→2026-02-13 | 2026-02-14→2026-03-15 | 2026-03-16→2026-04-14,60,444,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,206.2
NEAR/USD,1d,crypto,9,1199,6,0,2025-06-01→2025-07-23 | 2025-07-24→2025-09-14 | 2025-09-15→2025-11-06 | 2025-11-07→2025-12-29 | 2025-12-30→2026-02-20 | 2026-02-21→2026-04-14,140,891,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,188.1
MKR/USD,1d,crypto,9,1309,6,0,2024-07-18→2024-09-13 | 2024-09-14→2024-11-10 | 2024-11-11→2025-01-07 | 2025-01-08→2025-03-06 | 2025-03-07→2025-05-03 | 2025-05-04→2025-06-30,379,583,347,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,282.1
SNX/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,298,1178,254,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,373.4
GRT/USD,1d,crypto,9,1732,6,0,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,598,657,477,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,368.6
ARB/USD,1d,crypto,9,921,6,0,2025-08-14→2025-09-23 | 2025-09-24→2025-11-03 | 2025-11-04→2025-12-14 | 2025-12-15→2026-01-24 | 2026-01-25→2026-03-06 | 2026-03-07→2026-04-16,311,344,266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,259.7
