symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,calmar,max_drawdown,status,elapsed_s
BTC/USD,4h,crypto,9,4568,3,1,2025-06-05→2025-08-12 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,217,4074,277,0,0.3333,0.002,0.0117,0.0501,0.181,4.995,-0.0052,TOO_FEW_TRADES,201.7
BCH/USD,4h,crypto,9,4569,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,470,3582,517,6,0.4544,0.0032,0.0295,0.1709,0.784,3.427,-0.033,TOO_FEW_TRADES,182.2
BCH/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,23,900,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,39.8
LINK/USD,4h,crypto,9,4569,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,619,3291,659,9,0.3712,-0.005,-0.0219,0.1048,-0.048,0.54,-0.0316,- LOSS,191.5
LINK/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,23,896,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,43.0
DOGE/USD,4h,crypto,9,4570,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,662,3192,716,11,0.3687,0.0007,0.0071,0.0895,-0.081,0.744,-0.0315,+ MARGINAL,200.0
DOGE/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,32,881,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,42.3
ETC/USD,4h,crypto,9,4569,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,522,3551,496,4,0.25,-0.0131,-0.0628,0.1073,-1.593,0.221,-0.0259,TOO_FEW_TRADES,192.0
ETC/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,23,912,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,41.3
XLM/USD,4h,crypto,9,4572,3,2,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,469,3625,478,8,0.5278,0.0162,0.0939,0.1056,1.742,7.333,-0.0289,+ MARGINAL,200.0
XLM/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,20,908,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,45.4
ATOM/USD,4h,crypto,9,4569,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,567,3450,552,8,0.3815,-0.0013,0.0005,0.1341,0.176,1.697,-0.0314,+ MARGINAL,198.9
ATOM/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,19,917,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,43.6
ALGO/USD,4h,crypto,9,4569,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,706,3180,683,10,0.4683,0.0128,0.074,0.0987,0.978,3.514,-0.0275,+ MARGINAL,201.4
ALGO/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,31,893,38,0,0.0,-0.0028,-0.0115,0.0163,-0.804,-1.396,-0.0028,TOO_FEW_TRADES,43.0
NEAR/USD,4h,crypto,9,4569,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,769,3015,785,13,0.3102,-0.0188,-0.0925,0.0926,-1.077,-1.477,-0.0467,- LOSS,199.9
NEAR/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,40,872,50,0,0.0,-0.0027,-0.0115,0.0162,-0.124,-0.353,-0.0108,TOO_FEW_TRADES,41.1
XTZ/USD,4h,crypto,9,4570,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,564,3474,532,7,0.1958,-0.0211,-0.098,0.1498,-1.211,-0.948,-0.0394,TOO_FEW_TRADES,201.2
XTZ/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,26,913,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,37.1
UNI/USD,4h,crypto,9,4570,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,714,3171,685,12,0.3677,0.0057,0.0394,0.1517,0.249,1.606,-0.0409,+ MARGINAL,193.2
UNI/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,37,880,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,39.1
AAVE/USD,4h,crypto,9,4570,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,664,3171,735,13,0.3623,-0.0029,-0.0121,0.086,-0.18,0.033,-0.0509,- LOSS,200.0
AAVE/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,29,892,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,38.0
COMP/USD,4h,crypto,9,4560,3,1,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,604,3381,575,11,0.3389,-0.0127,-0.0453,0.2288,-0.801,2.377,-0.0423,- LOSS,142.5
COMP/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,27,899,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,43.3
SNX/USD,4h,crypto,9,4569,3,0,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,893,2903,773,13,0.2111,-0.0373,-0.1765,0.1143,-1.52,-2.308,-0.0713,- LOSS,198.2
SNX/USD,1d,crypto,9,962,3,1,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,43,872,47,0,0.3333,0.002,0.0092,0.0399,0.282,12.968,-0.0056,TOO_FEW_TRADES,42.2
CRV/USD,4h,crypto,9,4570,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,746,3041,783,14,0.3808,0.0044,0.0389,0.1897,0.062,2.136,-0.0428,+ MARGINAL,200.9
CRV/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,44,860,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,37.3
GRT/USD,4h,crypto,9,4570,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,770,3088,712,8,0.1732,-0.0351,-0.1623,0.1538,-2.075,-1.955,-0.054,- LOSS,189.5
GRT/USD,1d,crypto,9,962,3,1,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,33,881,48,0,0.3333,0.0005,0.0021,0.0029,0.691,2053296.467,0.0,TOO_FEW_TRADES,43.4
INJ/USD,4h,crypto,9,4570,3,0,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,853,2917,800,12,0.1778,-0.051,-0.2407,0.0677,-2.699,-3.364,-0.0703,- LOSS,201.5
INJ/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,34,871,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,44.1
ARB/USD,4h,crypto,9,4571,3,0,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,763,3155,653,9,0.2175,-0.0347,-0.1686,0.0772,-2.016,-3.391,-0.0479,- LOSS,205.2
ARB/USD,1d,crypto,9,881,3,1,2025-04-23→2025-07-10 | 2025-07-11→2025-09-27 | 2025-09-28→2025-12-15,37,802,42,0,0.3333,0.0047,0.0224,0.0317,0.536,2.408,-0.0031,TOO_FEW_TRADES,38.4
OP/USD,4h,crypto,9,4571,3,1,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,834,3020,717,12,0.3871,0.0034,0.0408,0.2419,-0.132,0.906,-0.05,+ MARGINAL,201.7
OP/USD,1d,crypto,9,691,3,0,2025-07-01→2025-08-31 | 2025-09-01→2025-11-01 | 2025-11-02→2026-01-02,34,626,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,33.0
RUNE/USD,4h,crypto,9,4571,3,0,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,779,3047,745,10,0.2613,-0.0248,-0.1206,0.0983,-1.768,-2.614,-0.0383,- LOSS,207.9
RUNE/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,39,869,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,44.7
FIL/USD,4h,crypto,9,4571,3,1,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,704,3232,635,12,0.2768,-0.0284,-0.1345,0.1325,-0.766,-1.259,-0.057,- LOSS,202.6
FIL/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,33,891,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,47.0
XMR/USD,4h,crypto,9,4571,3,2,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,374,3804,393,5,0.2917,-0.0039,-0.0179,0.0789,-0.871,-0.68,-0.029,TOO_FEW_TRADES,211.0
XMR/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,13,932,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,82.8
ZEC/USD,4h,crypto,9,4571,3,1,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,743,2976,852,12,0.2351,-0.0268,-0.1249,0.1502,-1.079,-2.019,-0.0466,- LOSS,197.1
ZEC/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,32,865,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,40.5
DASH/USD,4h,crypto,9,4568,3,0,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,680,3292,596,11,0.2222,-0.0333,-0.1649,0.0283,-1.346,-2.863,-0.0724,- LOSS,195.6
DASH/USD,1d,crypto,9,962,3,2,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,34,893,35,0,0.6667,0.0059,0.0254,0.0265,1.006,4718119.552,-0.0047,TOO_FEW_TRADES,46.9
EUR/USD,4h,forex,9,4571,3,0,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,0,4571,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,746.5
EUR/USD,1d,forex,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,0,962,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,179.0
GBP/USD,4h,forex,9,4572,3,0,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,0,4572,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,728.5
GBP/USD,1d,forex,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,0,962,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,181.0
AUD/USD,4h,forex,9,4571,3,0,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-21→2025-12-28,5,4565,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,587.4
AUD/USD,1d,forex,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,0,962,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,179.5
