symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,ann_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
DOT/USD,4h,crypto,9,4565,2739,913,913,344,2073,322,14,16,10,0.5,-0.006,-0.0144,-0.138,-0.043,0.2775,- LOSS,98.0
DOT/USD,12h,crypto,9,1261,756,252,253,42,677,37,1,0,0,0.0,0.0,0.0,0.0,0.0,0.1322,TOO_FEW_TRADES,39.3
DOT/USD,1d,crypto,9,961,576,192,193,12,549,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0435,TOO_FEW_TRADES,25.6
POL/USD,15m,crypto,9,17741,10644,3548,3549,4240,1800,4604,524,0,75,0.2667,-0.065,-0.4853,-10.736,-0.07,0.8472,- LOSS,367.4
POL/USD,30m,crypto,9,9149,5489,1830,1830,2091,1273,2125,0,266,51,0.4118,-0.0175,-0.1554,-0.031,-0.1142,0.8501,- LOSS,193.2
POL/USD,1h,crypto,9,9271,5562,1854,1855,1650,2403,1509,270,0,42,0.3095,-0.0543,-0.2319,-2.55,-0.0732,0.5905,- LOSS,193.0
POL/USD,4h,crypto,9,3498,2098,700,700,341,1469,288,95,0,13,0.3077,-0.0645,-0.1884,-2.065,-0.1382,0.4348,- LOSS,75.8
POL/USD,12h,crypto,9,1021,612,204,205,47,520,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1235,TOO_FEW_TRADES,35.2
POL/USD,1d,crypto,9,525,315,105,105,13,290,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0632,TOO_FEW_TRADES,16.3
LTC/USD,15m,crypto,9,17759,10655,3552,3552,3750,2292,4613,524,0,67,0.3433,-0.0376,-0.3148,-6.388,-0.0438,0.7699,- LOSS,367.5
LTC/USD,30m,crypto,9,9156,5493,1831,1832,1793,1525,2175,61,205,33,0.4242,-0.009,-0.0832,-1.085,-0.0294,0.7341,- LOSS,191.3
LTC/USD,1h,crypto,9,9271,5562,1854,1855,1461,2598,1503,236,26,39,0.4615,-0.0081,-0.0375,-0.389,-0.0491,0.5435,- LOSS,194.6
LTC/USD,4h,crypto,9,4566,2739,913,914,289,2158,292,11,6,6,0.6667,0.0824,0.209,3.181,-0.0176,0.2186,** STRONG,99.0
LTC/USD,12h,crypto,9,1261,756,252,253,37,684,35,3,0,1,1.0,0.0168,0.0492,6.503,-0.0038,0.1305,TOO_FEW_TRADES,40.3
LTC/USD,1d,crypto,9,961,576,192,193,13,547,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0367,TOO_FEW_TRADES,26.1
BCH/USD,15m,crypto,9,17289,10373,3458,3458,3988,1973,4412,203,307,76,0.2237,-0.0931,-0.6286,-14.024,-0.0945,0.7435,- LOSS,358.7
BCH/USD,30m,crypto,9,9132,5479,1826,1827,1829,1402,2248,101,165,19,0.5789,0.009,0.0898,1.161,-0.0135,0.6616,+ MARGINAL,191.1
BCH/USD,1h,crypto,9,9269,5561,1854,1854,1473,2624,1464,253,16,36,0.3611,-0.0114,-0.0527,-0.471,-0.0501,0.5949,- LOSS,193.6
BCH/USD,4h,crypto,9,4566,2739,913,914,320,2078,341,0,75,14,0.3571,-0.005,-0.0119,-0.238,-0.0237,0.3697,- LOSS,101.4
BCH/USD,12h,crypto,9,1261,756,252,253,41,674,41,0,17,5,0.4,0.0239,0.0706,3.158,-0.0191,0.2662,+ MARGINAL,39.9
BCH/USD,1d,crypto,9,961,576,192,193,17,537,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0873,TOO_FEW_TRADES,26.7
LINK/USD,15m,crypto,9,17756,10653,3551,3552,4220,1578,4855,524,0,89,0.2697,-0.096,-0.6306,-11.729,-0.0975,0.9182,- LOSS,372.5
LINK/USD,30m,crypto,9,9156,5493,1831,1832,2028,1205,2260,104,162,33,0.2727,-0.0376,-0.3069,-0.212,-0.1432,0.7113,- LOSS,191.9
LINK/USD,1h,crypto,9,9270,5562,1854,1854,1712,2109,1741,270,0,44,0.5227,0.0546,0.2856,2.405,-0.0385,0.6889,** STRONG,193.9
LINK/USD,4h,crypto,9,4566,2739,913,914,368,1949,422,69,11,19,0.3684,0.0244,0.0595,0.62,-0.0591,0.3617,+ MARGINAL,97.9
LINK/USD,12h,crypto,9,1261,756,252,253,47,658,51,0,5,1,0.0,-0.0106,-0.0304,-2.718,-0.0201,0.1977,TOO_FEW_TRADES,39.7
LINK/USD,1d,crypto,9,961,576,192,193,12,539,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0586,TOO_FEW_TRADES,27.5
DOGE/USD,15m,crypto,9,17760,10656,3552,3552,4204,1479,4973,524,0,76,0.25,-0.0689,-0.5056,-3.249,-0.1162,0.9672,- LOSS,368.9
DOGE/USD,30m,crypto,9,9157,5494,1831,1832,2101,1218,2175,0,266,35,0.2286,-0.0578,-0.434,-4.377,-0.0704,0.8482,- LOSS,191.3
DOGE/USD,1h,crypto,9,9272,5563,1854,1855,1791,2152,1620,269,0,42,0.381,-0.0015,-0.0072,-0.009,-0.0656,0.5806,- LOSS,193.1
DOGE/USD,4h,crypto,9,4567,2740,913,914,393,1888,459,42,18,22,0.3182,-0.0227,-0.0535,-0.521,-0.093,0.3233,- LOSS,97.6
DOGE/USD,12h,crypto,9,1261,756,252,253,46,661,49,2,0,1,0.0,-0.0116,-0.033,-0.638,-0.0713,0.1411,TOO_FEW_TRADES,39.7
DOGE/USD,1d,crypto,9,961,576,192,193,18,531,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1438,TOO_FEW_TRADES,27.5
ETC/USD,15m,crypto,9,13285,7971,2657,2657,3501,1246,3224,160,230,60,0.35,-0.0418,-0.4309,-1.77,-0.0595,0.6702,- LOSS,276.7
ETC/USD,30m,crypto,9,8184,4910,1637,1637,1807,1074,2029,191,46,11,0.2727,0.0029,0.0314,0.195,-0.0456,0.7035,~ WEAK+,175.7
ETC/USD,1h,crypto,9,9060,5436,1812,1812,1571,2342,1523,263,0,44,0.2955,-0.0558,-0.2423,-1.642,-0.075,0.7881,- LOSS,189.2
ETC/USD,4h,crypto,9,4566,2739,913,914,305,2132,302,3,2,3,0.3333,-0.0016,-0.0038,-0.05,-0.0221,0.1838,TOO_FEW_TRADES,98.1
ETC/USD,12h,crypto,9,1261,756,252,253,35,686,35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0901,TOO_FEW_TRADES,40.3
ETC/USD,1d,crypto,9,961,576,192,193,12,549,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0415,TOO_FEW_TRADES,26.1
XLM/USD,15m,crypto,9,17759,10655,3552,3552,4359,1976,4320,524,0,70,0.2429,-0.0724,-0.5234,-10.386,-0.0724,0.9328,- LOSS,366.9
XLM/USD,30m,crypto,9,9157,5494,1831,1832,1981,1475,2038,0,265,32,0.4062,-0.015,-0.1344,0.025,-0.1214,0.7399,- LOSS,191.4
XLM/USD,1h,crypto,9,9272,5563,1854,1855,1631,2552,1380,265,0,41,0.2683,-0.0643,-0.2696,-2.983,-0.0915,0.5986,- LOSS,193.6
XLM/USD,4h,crypto,9,4566,2739,913,914,266,2187,286,44,0,13,0.3077,-0.0111,-0.0263,-0.266,-0.0462,0.2788,- LOSS,97.5
XLM/USD,12h,crypto,9,1261,756,252,253,33,681,42,3,0,1,1.0,0.0272,0.0804,4.751,-0.0145,0.1438,TOO_FEW_TRADES,40.5
XLM/USD,1d,crypto,9,961,576,192,193,13,550,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0615,TOO_FEW_TRADES,26.8
ATOM/USD,15m,crypto,9,17711,10626,3542,3543,4214,1888,4524,375,148,87,0.2644,-0.077,-0.5473,-9.557,-0.077,0.5852,- LOSS,368.8
ATOM/USD,30m,crypto,9,9154,5492,1831,1831,2130,1211,2151,228,38,40,0.3,-0.0402,-0.3248,-4.624,-0.05,0.8054,- LOSS,192.3
ATOM/USD,1h,crypto,9,9272,5563,1854,1855,1642,2310,1611,270,0,35,0.2857,-0.0637,-0.2671,-3.157,-0.0638,0.7837,- LOSS,193.7
ATOM/USD,4h,crypto,9,4566,2739,913,914,354,2029,356,70,0,18,0.2778,-0.027,-0.0634,-0.798,-0.0573,0.3298,- LOSS,97.6
ATOM/USD,12h,crypto,9,1261,756,252,253,42,670,44,3,0,1,0.0,-0.0198,-0.056,-7.717,-0.0271,0.1902,TOO_FEW_TRADES,40.0
ATOM/USD,1d,crypto,9,961,576,192,193,13,549,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0469,TOO_FEW_TRADES,26.5
ALGO/USD,15m,crypto,9,17634,10580,3527,3527,4282,1604,4694,521,0,90,0.2778,-0.0684,-0.5052,-8.143,-0.0733,0.8952,- LOSS,374.8
ALGO/USD,30m,crypto,9,9154,5492,1831,1831,2084,1132,2276,21,245,39,0.3333,-0.018,-0.1592,-2.164,-0.0359,0.7119,- LOSS,191.2
ALGO/USD,1h,crypto,9,9272,5563,1854,1855,1857,1988,1718,264,5,46,0.2391,-0.0858,-0.3452,-4.385,-0.1088,0.5609,- LOSS,194.2
ALGO/USD,4h,crypto,9,4566,2739,913,914,420,1862,457,72,0,18,0.2778,-0.057,-0.1312,-1.799,-0.0711,0.3314,- LOSS,97.4
ALGO/USD,12h,crypto,9,1261,756,252,253,49,650,57,2,0,1,0.0,-0.0264,-0.0743,-5.352,-0.0264,0.1577,TOO_FEW_TRADES,40.3
ALGO/USD,1d,crypto,9,961,576,192,193,16,537,23,1,0,1,0.0,-0.0231,-0.0433,-1.907,-0.0231,0.0707,TOO_FEW_TRADES,27.5
NEAR/USD,15m,crypto,9,17465,10479,3493,3493,4205,1426,4848,0,515,79,0.3165,-0.0603,-0.4644,-7.904,-0.0624,0.9231,- LOSS,369.7
NEAR/USD,30m,crypto,9,9148,5488,1830,1830,2131,962,2395,50,216,48,0.25,-0.0617,-0.4567,-4.534,-0.0645,0.7433,- LOSS,192.3
NEAR/USD,1h,crypto,9,9272,5563,1854,1855,1896,1961,1706,270,0,39,0.4103,-0.0008,-0.0036,0.017,-0.0446,0.7611,- LOSS,194.4
NEAR/USD,4h,crypto,9,4566,2739,913,914,462,1772,505,84,23,20,0.25,-0.0691,-0.1576,-1.465,-0.127,0.39,- LOSS,98.0
NEAR/USD,12h,crypto,9,1261,756,252,253,55,639,62,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1406,TOO_FEW_TRADES,40.2
NEAR/USD,1d,crypto,9,961,576,192,193,21,521,34,1,0,1,0.0,-0.0455,-0.0843,-1.548,-0.0544,0.0998,TOO_FEW_TRADES,31.0
S/USD,15m,crypto,9,14554,8732,2911,2911,3960,996,3776,0,428,61,0.377,-0.0324,-0.3271,-0.493,-0.0986,0.8011,- LOSS,312.3
S/USD,30m,crypto,9,7157,4294,1431,1432,1911,786,1597,198,8,25,0.4,-0.0127,-0.1451,-1.298,-0.0244,0.6935,- LOSS,151.9
S/USD,1h,crypto,9,6154,3692,1231,1231,1301,1401,990,176,0,34,0.3235,-0.0129,-0.0885,-0.105,-0.107,0.7418,- LOSS,129.7
XTZ/USD,15m,crypto,9,15835,9501,3167,3167,4055,1346,4100,467,0,66,0.3636,-0.0399,-0.3624,-5.009,-0.0462,0.8403,- LOSS,326.4
XTZ/USD,30m,crypto,9,8866,5319,1773,1774,2025,1243,2051,0,258,37,0.2162,-0.0448,-0.3643,-5.373,-0.0512,0.681,- LOSS,187.0
XTZ/USD,1h,crypto,9,9256,5553,1851,1852,1684,2442,1427,262,7,40,0.35,-0.0359,-0.1588,-2.209,-0.0475,0.6591,- LOSS,193.8
XTZ/USD,4h,crypto,9,4566,2739,913,914,335,2079,325,24,18,10,0.2,-0.05,-0.1156,-1.424,-0.0949,0.3002,- LOSS,98.0
XTZ/USD,12h,crypto,9,1261,756,252,253,46,680,30,2,0,0,0.0,0.0,0.0,0.0,0.0,0.1686,TOO_FEW_TRADES,40.0
XTZ/USD,1d,crypto,9,961,576,192,193,16,548,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0651,TOO_FEW_TRADES,26.3
EOS/USD,15m,crypto,9,14462,8677,2892,2893,3800,1170,3707,215,210,64,0.3125,-0.0246,-0.2606,-1.479,-0.0663,0.7579,- LOSS,308.1
EOS/USD,30m,crypto,9,8043,4825,1609,1609,1987,933,1905,164,69,37,0.4595,0.0413,0.5538,2.429,-0.017,0.7136,** STRONG,176.9
EOS/USD,1h,crypto,9,8389,5033,1678,1678,1409,2178,1446,0,243,29,0.3793,0.0066,0.0352,0.408,-0.0244,0.8119,+ MARGINAL,183.0
EOS/USD,4h,crypto,9,3080,1848,616,616,195,1418,235,36,16,12,0.1667,-0.1109,-0.3415,-3.501,-0.1172,0.3401,- LOSS,73.7
EOS/USD,12h,crypto,9,1261,756,252,253,25,715,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0868,TOO_FEW_TRADES,37.3
EOS/USD,1d,crypto,9,896,537,179,180,14,515,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0665,TOO_FEW_TRADES,31.0
UNI/USD,15m,crypto,9,17558,10534,3512,3512,4343,1557,4634,493,25,66,0.2727,-0.0646,-0.4864,-7.353,-0.0729,0.7517,- LOSS,366.3
UNI/USD,30m,crypto,9,9145,5487,1829,1829,2216,988,2283,266,0,38,0.2368,-0.0452,-0.3578,-4.638,-0.0474,0.8204,- LOSS,191.7
UNI/USD,1h,crypto,9,9271,5562,1854,1855,1743,2189,1630,270,0,43,0.1628,-0.1228,-0.4615,-6.252,-0.1257,0.7275,- LOSS,194.2
UNI/USD,4h,crypto,9,4566,2739,913,914,424,1893,422,37,21,17,0.4118,0.0303,0.0742,0.646,-0.0497,0.3128,+ MARGINAL,97.9
UNI/USD,12h,crypto,9,1261,756,252,253,54,643,59,5,0,2,0.0,-0.036,-0.1005,-5.206,-0.0434,0.1984,TOO_FEW_TRADES,39.8
UNI/USD,1d,crypto,9,961,576,192,193,21,529,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0607,TOO_FEW_TRADES,26.7
AAVE/USD,15m,crypto,9,17577,10546,3515,3516,4548,1571,4427,519,0,61,0.2131,-0.0654,-0.4905,-8.172,-0.0709,0.8698,- LOSS,368.6
AAVE/USD,30m,crypto,9,9156,5493,1831,1832,2036,1226,2231,175,91,42,0.3333,-0.0143,-0.1287,-0.976,-0.0559,0.6925,- LOSS,191.8
AAVE/USD,1h,crypto,9,9270,5562,1854,1854,1750,2091,1721,128,138,46,0.3261,-0.0463,-0.2005,-1.692,-0.0893,0.552,- LOSS,195.2
AAVE/USD,4h,crypto,9,4566,2739,913,914,397,1861,481,23,74,26,0.4615,0.0872,0.2219,1.572,-0.0457,0.3956,** STRONG,99.6
AAVE/USD,12h,crypto,9,1261,756,252,253,49,638,69,2,1,0,0.0,0.0,0.0,0.0,0.0,0.1854,TOO_FEW_TRADES,40.2
AAVE/USD,1d,crypto,9,961,576,192,193,14,537,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.088,TOO_FEW_TRADES,26.8
MKR/USD,15m,crypto,9,14566,8739,2913,2914,3748,1133,3858,0,429,70,0.1714,-0.1076,-0.7456,-10.632,-0.1139,0.7924,- LOSS,311.6
MKR/USD,30m,crypto,9,8107,4864,1621,1622,1985,904,1975,0,235,29,0.2069,-0.0445,-0.3882,-5.183,-0.0508,0.8919,- LOSS,178.2
MKR/USD,1h,crypto,9,8494,5096,1699,1699,1653,2214,1229,83,163,47,0.2979,-0.0409,-0.1939,-2.079,-0.0569,0.5778,- LOSS,185.2
MKR/USD,4h,crypto,9,3080,1848,616,616,237,1348,263,71,0,18,0.3333,-0.0384,-0.1301,-1.134,-0.0677,0.3888,- LOSS,74.4
MKR/USD,12h,crypto,9,1261,756,252,253,22,697,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0852,TOO_FEW_TRADES,37.7
MKR/USD,1d,crypto,9,896,537,179,180,9,502,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0911,TOO_FEW_TRADES,32.1
COMP/USD,15m,crypto,9,11350,6810,2270,2270,2937,841,3032,332,0,45,0.2667,-0.0395,-0.4631,-4.815,-0.0437,0.7997,- LOSS,237.7
COMP/USD,30m,crypto,9,7483,4489,1497,1497,1764,958,1767,162,54,18,0.6111,0.0105,0.1296,0.672,-0.0308,0.6961,* GOOD,159.0
COMP/USD,1h,crypto,9,8841,5304,1768,1769,1719,2082,1503,257,0,36,0.4167,0.0017,0.0087,0.134,-0.0579,0.7606,+ MARGINAL,186.8
COMP/USD,4h,crypto,9,4556,2733,911,912,371,1975,387,116,0,24,0.2917,-0.0104,-0.0249,-0.097,-0.076,0.448,- LOSS,98.2
COMP/USD,12h,crypto,9,1261,756,252,253,46,665,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1679,TOO_FEW_TRADES,39.8
COMP/USD,1d,crypto,9,961,576,192,193,15,538,23,2,0,1,0.0,-0.0308,-0.0574,-2.029,-0.0348,0.156,TOO_FEW_TRADES,27.9
SNX/USD,15m,crypto,9,14121,8472,2824,2825,4128,772,3572,415,0,59,0.3729,-0.0379,-0.3807,-5.522,-0.0532,0.8281,- LOSS,256.0
SNX/USD,30m,crypto,9,8036,4821,1607,1608,2059,749,2013,0,233,27,0.3333,-0.0065,-0.0684,0.193,-0.1374,0.6507,- LOSS,129.3
SNX/USD,1h,crypto,9,9100,5460,1820,1820,1886,1911,1663,257,8,45,0.3556,-0.0227,-0.1047,-1.245,-0.0573,0.5994,- LOSS,145.7
SNX/USD,4h,crypto,9,4565,2739,913,913,514,1760,465,111,4,23,0.1304,-0.183,-0.3841,-3.366,-0.1942,0.4355,- LOSS,75.0
SNX/USD,12h,crypto,9,1261,756,252,253,60,643,53,19,7,3,0.6667,0.0499,0.1509,3.945,-0.0496,0.3538,TOO_FEW_TRADES,33.6
SNX/USD,1d,crypto,9,961,576,192,193,22,528,26,2,1,2,0.5,0.0235,0.0449,1.006,-0.0239,0.1706,TOO_FEW_TRADES,21.5
CRV/USD,15m,crypto,9,17111,10266,3422,3423,4218,1412,4636,501,4,70,0.3143,-0.0428,-0.3607,-5.364,-0.0588,0.7036,- LOSS,270.6
CRV/USD,30m,crypto,9,9103,5461,1821,1821,2073,1116,2272,265,0,45,0.2444,-0.0608,-0.4532,-4.285,-0.0632,0.7612,- LOSS,145.4
CRV/USD,1h,crypto,9,9271,5562,1854,1855,1764,1970,1828,270,0,40,0.35,0.0085,0.0408,0.414,-0.0417,0.8113,+ MARGINAL,147.5
CRV/USD,4h,crypto,9,4567,2740,913,914,437,1803,500,87,0,10,0.3,-0.0308,-0.0721,-0.565,-0.0677,0.361,- LOSS,75.1
CRV/USD,12h,crypto,9,1261,756,252,253,58,617,81,0,5,1,0.0,-0.0138,-0.0392,-7.003,-0.0176,0.2049,TOO_FEW_TRADES,34.2
CRV/USD,1d,crypto,9,961,576,192,193,26,514,36,2,0,1,0.0,-0.0179,-0.0336,-2.187,-0.0187,0.1142,TOO_FEW_TRADES,24.4
GRT/USD,15m,crypto,9,16827,10096,3365,3366,4271,1399,4426,310,186,78,0.2564,-0.0726,-0.5439,-9.611,-0.0804,0.6933,- LOSS,265.6
GRT/USD,30m,crypto,9,9041,5424,1808,1809,2186,939,2299,197,66,34,0.2941,-0.0351,-0.2924,-3.62,-0.0459,0.7305,- LOSS,144.2
GRT/USD,1h,crypto,9,9266,5559,1853,1854,1869,1981,1709,270,0,47,0.2766,-0.0486,-0.2097,-1.605,-0.0953,0.811,- LOSS,147.8
GRT/USD,4h,crypto,9,4567,2740,913,914,468,1790,482,16,44,17,0.2941,-0.0372,-0.0868,-1.056,-0.0709,0.3199,- LOSS,89.8
GRT/USD,12h,crypto,9,1261,756,252,253,63,635,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1132,TOO_FEW_TRADES,39.9
GRT/USD,1d,crypto,9,961,576,192,193,19,526,31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0825,TOO_FEW_TRADES,27.2
INJ/USD,15m,crypto,9,17263,10357,3453,3453,4319,1478,4560,120,389,73,0.3562,-0.0306,-0.2705,-2.913,-0.0459,0.5994,- LOSS,359.6
INJ/USD,30m,crypto,9,9148,5488,1830,1830,2140,939,2409,1,265,41,0.3171,-0.0563,-0.4259,-1.92,-0.0841,0.68,- LOSS,192.6
INJ/USD,1h,crypto,9,9272,5563,1854,1855,1958,1797,1808,171,99,37,0.4324,0.0058,0.0275,0.305,-0.0438,0.5099,+ MARGINAL,175.0
INJ/USD,4h,crypto,9,4567,2740,913,914,498,1737,505,56,46,21,0.4762,0.0485,0.1202,1.007,-0.047,0.3652,* GOOD,75.4
INJ/USD,12h,crypto,9,1261,756,252,253,65,630,61,2,0,2,0.0,-0.0248,-0.0699,-8.086,-0.0248,0.1638,TOO_FEW_TRADES,33.6
INJ/USD,1d,crypto,9,961,576,192,193,17,525,34,4,0,2,0.0,-0.0601,-0.1107,-1.51,-0.0996,0.1376,TOO_FEW_TRADES,24.1
