symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,calmar,max_drawdown,status,elapsed_s
LTC/USD,1h,crypto,9,9271,3,2,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2342,4649,2280,11,0.4569,0.0017,0.1184,0.4435,0.998,8.607,-0.0402,TOO_FEW_TRADES,503.6
LTC/USD,4h,crypto,9,4569,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,461,3659,449,4,0.2833,-0.0087,-0.0444,0.0475,-0.743,-1.56,-0.025,TOO_FEW_TRADES,251.0
LTC/USD,12h,crypto,9,1261,3,1,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,51,1156,54,0,0.3333,0.0048,0.032,0.0452,0.885,31974490.337,0.0,TOO_FEW_TRADES,90.3
LTC/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,22,915,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,57.1
BCH/USD,30m,crypto,9,9132,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3217,2476,3439,4,0.3278,-0.0091,-0.1606,0.1724,-2.672,-6.534,-0.024,TOO_FEW_TRADES,491.6
BCH/USD,1h,crypto,9,9269,3,2,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2355,4592,2322,9,0.4583,0.0093,0.1624,0.4045,0.71,9.268,-0.0327,TOO_FEW_TRADES,502.3
BCH/USD,4h,crypto,9,4569,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,470,3582,517,6,0.4544,0.0032,0.0295,0.1709,0.767,3.278,-0.0334,TOO_FEW_TRADES,250.3
BCH/USD,12h,crypto,9,1261,3,2,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,48,1146,67,2,0.4444,-0.0048,-0.0275,0.0856,0.057,4.956,-0.0136,TOO_FEW_TRADES,83.1
BCH/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,23,900,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,57.4
LINK/USD,30m,crypto,9,9156,3,3,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3468,1981,3707,4,0.5222,0.0102,0.2511,0.1774,1.665,11.593,-0.0222,TOO_FEW_TRADES,495.2
LINK/USD,1h,crypto,9,9270,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2803,3874,2593,10,0.2929,-0.0107,-0.0825,0.2257,-0.971,-0.835,-0.049,TOO_FEW_TRADES,505.5
LINK/USD,4h,crypto,9,4569,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,619,3291,659,9,0.3712,-0.005,-0.0219,0.1048,-0.048,0.54,-0.0316,- LOSS,249.2
LINK/USD,12h,crypto,9,1261,3,2,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,69,1109,83,0,0.6667,0.0095,0.0638,0.0451,2.122,31802419.711,-0.0028,TOO_FEW_TRADES,83.3
LINK/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,23,896,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,58.1
DOGE/USD,30m,crypto,9,9157,3,2,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3611,1933,3613,7,0.4497,0.0103,0.3493,0.5182,1.192,16.58,-0.03,TOO_FEW_TRADES,490.6
DOGE/USD,1h,crypto,9,9272,3,2,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2936,3862,2474,13,0.384,-0.0028,0.0088,0.2708,0.004,1.02,-0.0426,TOO_FEW_TRADES,505.1
DOGE/USD,4h,crypto,9,4570,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,662,3192,716,11,0.3687,0.0007,0.0071,0.0895,-0.081,0.744,-0.0315,+ MARGINAL,249.6
DOGE/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,68,1114,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,83.4
DOGE/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,32,881,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,59.9
ETC/USD,30m,crypto,9,8184,3,2,2025-08-08→2025-08-24 | 2025-08-24→2025-09-10 | 2025-09-10→2025-09-26,3202,1790,3192,3,0.3889,-0.0041,-0.0012,0.3866,-1.519,7.305,-0.0244,TOO_FEW_TRADES,439.6
ETC/USD,1h,crypto,9,9060,3,1,2025-09-12→2025-10-16 | 2025-10-16→2025-11-20 | 2025-11-20→2025-12-25,2614,4149,2297,10,0.3038,-0.0176,-0.1479,0.2074,-1.623,-1.738,-0.0498,TOO_FEW_TRADES,492.1
ETC/USD,4h,crypto,9,4569,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,522,3551,496,4,0.25,-0.0131,-0.0628,0.1073,-1.593,0.221,-0.0259,TOO_FEW_TRADES,249.7
ETC/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,45,1162,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,84.8
ETC/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,23,912,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,57.4
XLM/USD,30m,crypto,9,9157,3,2,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3538,2403,3216,4,0.4444,0.0052,0.1369,0.2261,0.69,4.148,-0.027,TOO_FEW_TRADES,495.4
XLM/USD,1h,crypto,9,9272,3,2,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2681,4437,2154,11,0.4926,0.0216,0.3878,0.6702,2.298,14.456,-0.038,TOO_FEW_TRADES,502.8
XLM/USD,4h,crypto,9,4569,3,3,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,468,3623,478,9,0.5394,0.0257,0.1487,0.1073,1.972,10.147,-0.027,* GOOD,250.4
XLM/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,42,1150,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,86.1
XLM/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,20,908,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,67.2
ATOM/USD,30m,crypto,9,9154,3,2,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3622,2121,3411,4,0.4889,0.0027,0.0633,0.0971,0.508,2.336,-0.0252,TOO_FEW_TRADES,493.7
ATOM/USD,1h,crypto,9,9272,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2711,4221,2340,10,0.2603,-0.0232,-0.1995,0.1865,-1.987,-4.7,-0.0407,TOO_FEW_TRADES,504.0
ATOM/USD,4h,crypto,9,4569,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,567,3450,552,8,0.3815,-0.0013,0.0005,0.1341,0.176,1.697,-0.0314,+ MARGINAL,252.2
ATOM/USD,12h,crypto,9,1261,3,1,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,57,1146,58,0,0.3333,-0.0019,-0.0117,0.0293,-0.456,-0.434,-0.0078,TOO_FEW_TRADES,84.9
ATOM/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,19,917,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,61.9
ALGO/USD,30m,crypto,9,9154,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3609,1927,3618,5,0.273,-0.0068,-0.1215,0.1628,-1.222,-4.401,-0.0242,TOO_FEW_TRADES,491.5
ALGO/USD,1h,crypto,9,9272,3,2,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3046,3772,2454,11,0.2877,-0.0237,-0.1508,0.3268,-1.774,-0.195,-0.0516,TOO_FEW_TRADES,503.5
ALGO/USD,4h,crypto,9,4569,3,2,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,706,3180,683,10,0.4683,0.0128,0.074,0.0987,0.978,3.514,-0.0275,+ MARGINAL,250.3
ALGO/USD,12h,crypto,9,1261,3,1,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,72,1108,81,0,0.3333,0.002,0.0145,0.061,0.177,10.375,-0.0039,TOO_FEW_TRADES,85.1
ALGO/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,31,893,38,0,0.0,-0.0028,-0.0115,0.0163,-0.804,-1.396,-0.0028,TOO_FEW_TRADES,62.1
NEAR/USD,30m,crypto,9,9148,3,0,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3635,1653,3860,7,0.2889,-0.0193,-0.3388,0.0149,-3.339,-9.454,-0.0432,TOO_FEW_TRADES,489.8
NEAR/USD,1h,crypto,9,9272,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3140,3402,2730,12,0.3101,-0.0195,-0.1423,0.299,-1.201,-0.636,-0.0549,TOO_FEW_TRADES,502.8
NEAR/USD,4h,crypto,9,4569,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,769,3015,785,13,0.3102,-0.0188,-0.0925,0.0926,-1.077,-1.477,-0.0467,- LOSS,251.5
NEAR/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,85,1082,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,84.0
NEAR/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,40,872,50,0,0.0,-0.0027,-0.0115,0.0162,-0.124,-0.353,-0.0108,TOO_FEW_TRADES,57.6
S/USD,30m,crypto,9,7157,3,1,2025-08-14→2025-08-27 | 2025-08-27→2025-09-11 | 2025-09-11→2025-09-24,3143,1305,2709,3,0.5,-0.0053,-0.1241,0.1391,-1.499,-6.018,-0.0202,TOO_FEW_TRADES,383.2
S/USD,1h,crypto,9,6154,3,0,2025-10-25→2025-11-17 | 2025-11-17→2025-12-11 | 2025-12-11→2026-02-08,2319,2337,1498,8,0.2,-0.0288,-0.3499,0.1579,-3.365,-8.405,-0.0407,TOO_FEW_TRADES,339.4
XTZ/USD,30m,crypto,9,8866,3,3,2025-08-08→2025-08-24 | 2025-08-24→2025-09-10 | 2025-09-10→2025-09-27,3440,2097,3329,7,0.4095,0.014,0.3625,0.1311,2.315,18.326,-0.0192,TOO_FEW_TRADES,477.8
XTZ/USD,1h,crypto,9,9256,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2732,4305,2219,10,0.2662,-0.0296,-0.2223,0.3053,-2.084,-2.234,-0.0569,TOO_FEW_TRADES,506.6
XTZ/USD,4h,crypto,9,4570,3,1,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,564,3474,532,7,0.1958,-0.0211,-0.098,0.1498,-1.211,-0.948,-0.0394,TOO_FEW_TRADES,250.0
XTZ/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,61,1150,50,0,0.0,-0.0027,-0.0173,0.0245,-0.413,-0.84,-0.0069,TOO_FEW_TRADES,84.8
XTZ/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,26,913,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,58.8
EOS/USD,30m,crypto,9,8043,3,3,2025-04-29→2025-05-14 | 2025-05-14→2025-05-29 | 2025-05-29→2025-06-14,3304,1755,2984,7,0.6085,0.0359,1.5539,0.9756,5.436,93.275,-0.0192,TOO_FEW_TRADES,446.5
EOS/USD,1h,crypto,9,8389,3,2,2025-02-24→2025-03-28 | 2025-03-28→2025-04-28 | 2025-04-28→2025-05-30,2434,3671,2284,11,0.3861,0.0147,0.3032,0.5353,1.213,19.539,-0.0346,TOO_FEW_TRADES,462.8
EOS/USD,4h,crypto,9,3080,3,2,2024-12-28→2025-02-12 | 2025-02-12→2025-03-30 | 2025-03-30→2025-05-15,422,2246,412,5,0.4444,0.0083,0.0714,0.0997,0.858,3.633,-0.0284,TOO_FEW_TRADES,176.2
