symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
RUNE/USD,4h,crypto,9,4804,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1062,2788,954,4,0.3333,-0.0022,-0.0205,0.0578,-1.466,-0.578,4.33,-0.0052,12310838349.001,1.403,inf,10.2414,-12.0774,5,0.4444,0.1667,2,2,insufficient,46.0,0.8438,3.0,TOO_FEW_TRADES,48.2
ETH/USD,4h,crypto,9,4795,6,1,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-12,636,3509,650,2,0.2222,-0.0002,-0.0017,0.0218,-0.587,0.337,3.576,-0.002,7331211966.781,inf,inf,7.5598,-8.795,2,0.1667,0.0833,1,1,insufficient,45.3,0.7812,3.0,TOO_FEW_TRADES,710.9
MKR/USD,4h,crypto,9,3080,6,2,2025-02-13→2025-03-07 | 2025-03-08→2025-03-30 | 2025-03-31→2025-04-22 | 2025-04-23→2025-05-15 | 2025-05-16→2025-06-07 | 2025-06-08→2025-06-30,591,1911,578,2,0.2917,-0.0014,-0.0206,0.0541,-1.431,-1.349,1.588,-0.005,8172258384.87,0.886,inf,14.9192,-21.9631,3,0.25,0.0417,1,1,insufficient,44.9,0.8438,3.0,TOO_FEW_TRADES,39.3
BTC/USD,4h,crypto,9,4805,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,332,4052,421,2,0.2,-0.0005,-0.0046,0.0161,-0.619,-0.276,-0.517,-0.0017,3610827116.253,inf,inf,8.7668,-3.5865,3,0.1667,0.0556,1,1,insufficient,44.7,0.875,3.0,TOO_FEW_TRADES,807.6
XLM/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,142,1428,160,0,0.1667,-0.0005,-0.0127,0.0498,-0.509,-0.07,-0.512,-0.002,2988158376.664,inf,inf,2.9882,-8.0208,1,0.1667,0.0,0,0,insufficient,43.1,0.75,3.0,TOO_FEW_TRADES,14.1
LTC/USD,4h,crypto,9,4802,6,1,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,636,3526,640,0,0.1667,-0.0006,-0.0061,0.017,-0.637,-0.536,4.677,-0.0011,2724299767.767,inf,inf,2.7243,-8.668,1,0.0,0.1667,0,0,insufficient,42.7,0.75,3.0,TOO_FEW_TRADES,57.9
INJ/USD,4h,crypto,9,4804,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1118,2678,1008,0,0.0833,-0.0001,-0.001,0.0056,-0.395,-0.06,-1.136,-0.001,0.233,inf,inf,4.3457,-5.2446,1,0.0833,0.0,0,0,insufficient,42.7,0.75,3.0,TOO_FEW_TRADES,40.5
AVAX/USD,4h,crypto,9,4802,6,1,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,951,2929,922,2,0.2,-0.0016,-0.0153,0.0267,-0.987,-0.554,-0.873,-0.0037,5971951866.844,inf,inf,11.4897,-11.6564,3,0.2,0.0,2,0,insufficient,42.5,0.9062,3.0,TOO_FEW_TRADES,52.4
ATOM/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,191,1343,196,0,0.1667,-0.0007,-0.0178,0.0454,-0.723,0.062,-3.08,-0.001,603853956.901,inf,inf,0.6039,-3.7809,2,0.1667,0.0,0,0,insufficient,41.9,0.75,3.0,TOO_FEW_TRADES,13.7
GRT/USD,4h,crypto,9,4804,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1051,2835,918,2,0.0833,-0.0014,-0.0136,0.0311,-0.791,-0.181,-0.47,-0.0025,0.359,inf,inf,4.2696,-9.8785,3,0.1111,0.0,1,0,insufficient,41.6,0.875,3.0,TOO_FEW_TRADES,48.2
