symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
MATIC/USD,12h,crypto,9,2629,1577,526,526,101,1364,112,1,1,2,0.5,0.0118,1.28,-0.0343,0.1664,TOO_FEW_TRADES,65.7
MATIC/USD,1d,crypto,9,1215,729,243,243,35,664,30,0,0,0,0.0,0.0,0.0,0.0,0.0522,TOO_FEW_TRADES,36.8
LTC/USD,1h,crypto,9,85083,51049,17017,17017,14602,21239,15208,2534,5,409,0.3203,-0.2406,-1.145,-0.2878,0.5655,- LOSS,1743.6
LTC/USD,4h,crypto,9,4562,2737,912,913,287,2159,291,8,7,6,0.3333,0.0096,0.334,-0.0273,0.2249,~ WEAK+,96.0
LTC/USD,8h,crypto,9,2183,1309,437,437,95,1119,95,0,2,2,0.5,0.0174,1.081,-0.0188,0.1568,TOO_FEW_TRADES,44.0
LTC/USD,12h,crypto,9,8048,4828,1610,1610,342,4092,394,0,0,0,0.0,0.0,0.0,0.0,0.1648,TOO_FEW_TRADES,182.3
LTC/USD,1d,crypto,9,4129,2477,826,826,133,2179,165,0,0,0,0.0,0.0,0.0,0.0,0.1347,TOO_FEW_TRADES,91.9
LTC/USD,1w,crypto,9,444,266,89,89,24,216,26,0,1,1,1.0,0.072,11.692,-0.0242,0.075,TOO_FEW_TRADES,17.5
BCH/USD,1h,crypto,9,74100,44460,14820,14820,12972,18785,12703,797,1413,354,0.3192,-0.2455,-1.746,-0.2898,0.5139,- LOSS,1515.1
BCH/USD,4h,crypto,9,4563,2737,913,913,320,2077,340,0,93,17,0.3529,-0.0122,-0.556,-0.0341,0.4168,- LOSS,96.5
BCH/USD,8h,crypto,9,2183,1309,437,437,93,1097,119,0,30,6,0.5,0.0107,0.531,-0.0359,0.3038,+ MARGINAL,45.2
BCH/USD,12h,crypto,9,5944,3566,1189,1189,274,3017,275,0,0,0,0.0,0.0,0.0,0.0,0.1544,TOO_FEW_TRADES,135.3
BCH/USD,1d,crypto,9,2937,1762,587,588,82,1591,89,0,0,0,0.0,0.0,0.0,0.0,0.1762,TOO_FEW_TRADES,66.5
LINK/USD,1h,crypto,9,54950,32970,10990,10990,9798,12583,10589,1407,223,271,0.321,-0.2056,-1.277,-0.2946,0.5609,- LOSS,1133.6
LINK/USD,4h,crypto,9,4563,2737,913,913,367,1947,423,66,17,24,0.3333,-0.004,-0.025,-0.1019,0.3696,- LOSS,96.2
LINK/USD,8h,crypto,9,2183,1309,437,437,119,1067,123,18,2,9,0.3333,-0.0227,-0.668,-0.0731,0.2706,- LOSS,44.7
LINK/USD,12h,crypto,9,4379,2627,876,876,188,2207,232,2,4,2,1.0,0.1147,6.777,-0.02,0.2031,TOO_FEW_TRADES,105.4
LINK/USD,1d,crypto,9,2154,1292,431,431,64,1155,73,2,0,1,1.0,0.0097,0.548,-0.0046,0.1717,TOO_FEW_TRADES,51.4
DOGE/USD,1h,crypto,9,50752,30451,10150,10151,8234,14753,7464,355,1158,241,0.39,0.1017,0.735,-0.1077,0.5275,* GOOD,1053.0
DOGE/USD,4h,crypto,9,4564,2738,913,913,393,1886,459,56,20,28,0.3214,-0.0431,-1.046,-0.1092,0.3424,- LOSS,97.7
DOGE/USD,8h,crypto,9,2183,1309,437,437,129,1046,134,5,7,6,0.5,0.03,1.092,-0.0228,0.2327,+ MARGINAL,44.5
DOGE/USD,12h,crypto,9,4203,2521,841,841,133,2205,183,10,0,5,0.4,0.0082,0.635,-0.0443,0.2272,+ MARGINAL,103.1
DOGE/USD,1d,crypto,9,2069,1241,414,414,49,1117,75,0,0,0,0.0,0.0,0.0,0.0,0.1038,TOO_FEW_TRADES,52.2
ETC/USD,1h,crypto,9,79050,47430,15810,15810,13608,19593,14229,1965,396,375,0.312,-0.284,-1.652,-0.2928,0.5486,- LOSS,1717.6
ETC/USD,4h,crypto,9,4563,2737,913,913,305,2130,302,8,0,4,0.5,0.0274,1.126,-0.0281,0.1943,TOO_FEW_TRADES,96.7
ETC/USD,8h,crypto,9,2183,1309,437,437,96,1136,77,1,0,1,0.0,-0.0073,-1.817,-0.01,0.1896,TOO_FEW_TRADES,43.8
ETC/USD,12h,crypto,9,6688,4012,1338,1338,292,3358,362,12,0,4,0.0,-0.0678,-3.492,-0.0827,0.1742,TOO_FEW_TRADES,152.9
ETC/USD,1d,crypto,9,3308,1984,662,662,94,1752,138,1,0,1,0.0,-0.0153,-0.574,-0.0231,0.1421,TOO_FEW_TRADES,74.1
