symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
OP/USD,4h,crypto,9,4798,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,1075,2775,948,6,0.2543,-0.0043,-0.0423,0.0487,-1.3,-1.249,-3.244,-0.0115,0.497,inf,inf,22.7948,-24.2263,6,0.2196,0.1806,5,2,trend-only(22%),41.6,0.9688,3.0,- LOSS,1168.3
SOL/USD,1d,crypto,9,1561,6,1,2025-02-17→2025-04-27 | 2025-04-28→2025-07-06 | 2025-07-07→2025-09-14 | 2025-09-15→2025-11-23 | 2025-11-24→2026-02-01 | 2026-02-02→2026-04-12,174,1176,211,0,0.1667,-0.0007,-0.0194,0.0662,-0.888,-0.008,-1.59,-0.0014,2315768502.777,inf,inf,2.3158,-9.3365,1,0.1667,0.0,0,0,insufficient,41.0,0.75,3.0,TOO_FEW_TRADES,398.5
ZEC/USD,4h,crypto,9,4798,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,992,2694,1112,5,0.2306,-0.0032,-0.032,0.0336,-0.748,-0.441,-2.246,-0.0106,0.453,inf,inf,26.9359,-25.1338,5,0.2365,0.0,5,0,trend-only(24%),40.9,1.0,3.0,- LOSS,801.6
ETC/USD,1d,crypto,9,1729,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,160,1398,171,0,0.0833,-0.0001,-0.0027,0.006,-0.12,-0.059,-0.678,-0.0007,0.142,inf,inf,5.5187,-6.4753,1,0.0,0.1667,0,0,insufficient,40.7,1.0,3.0,TOO_FEW_TRADES,441.0
AVAX/USD,1d,crypto,9,1375,6,0,2025-04-13→2025-06-12 | 2025-06-13→2025-08-12 | 2025-08-13→2025-10-12 | 2025-10-13→2025-12-12 | 2025-12-13→2026-02-11 | 2026-02-12→2026-04-13,138,1069,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,-0.2494,1,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,403.4
DOT/USD,1d,crypto,9,1729,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,172,1385,172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,438.3
POL/USD,1d,crypto,9,563,6,0,2025-10-16→2025-11-14 | 2025-11-15→2025-12-14 | 2025-12-15→2026-01-13 | 2026-01-14→2026-02-12 | 2026-02-13→2026-03-14 | 2026-03-15→2026-04-13,60,444,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,187.1
NEAR/USD,1d,crypto,9,1198,6,0,2025-05-31→2025-07-22 | 2025-07-23→2025-09-13 | 2025-09-14→2025-11-05 | 2025-11-06→2025-12-28 | 2025-12-29→2026-02-19 | 2026-02-20→2026-04-13,140,891,167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,324.6
EOS/USD,1d,crypto,9,1618,6,0,2024-04-25→2024-07-05 | 2024-07-06→2024-09-15 | 2024-09-16→2024-11-26 | 2024-11-27→2025-02-06 | 2025-02-07→2025-04-19 | 2025-04-20→2025-06-30,189,1251,178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,391.1
MKR/USD,1d,crypto,9,1309,6,0,2024-07-18→2024-09-13 | 2024-09-14→2024-11-10 | 2024-11-11→2025-01-07 | 2025-01-08→2025-03-06 | 2025-03-07→2025-05-03 | 2025-05-04→2025-06-30,155,1003,151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,359.9
SNX/USD,1d,crypto,9,1729,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,298,1178,253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,460.9
ARB/USD,1d,crypto,9,918,6,0,2025-08-11→2025-09-20 | 2025-09-21→2025-10-31 | 2025-11-01→2025-12-11 | 2025-12-12→2026-01-21 | 2026-01-22→2026-03-03 | 2026-03-04→2026-04-13,122,690,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,300.1
OP/USD,1d,crypto,9,728,6,0,2025-10-04→2025-11-04 | 2025-11-05→2025-12-06 | 2025-12-07→2026-01-07 | 2026-01-08→2026-02-08 | 2026-02-09→2026-03-12 | 2026-03-13→2026-04-13,111,522,95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,244.8
RUNE/USD,1d,crypto,9,1239,6,0,2025-05-19→2025-07-12 | 2025-07-13→2025-09-05 | 2025-09-06→2025-10-30 | 2025-10-31→2025-12-24 | 2025-12-25→2026-02-17 | 2026-02-18→2026-04-13,159,901,179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,311.4
EUR/USD,4h,forex,9,4798,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,0,4797,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,726.6
EUR/USD,1d,forex,9,1729,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,0,1729,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,289.6
GBP/USD,4h,forex,9,4800,6,0,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,0,4800,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,761.3
GBP/USD,1d,forex,9,1729,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,0,1729,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,359.3
AUD/USD,4h,forex,9,4799,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-08→2026-04-13,5,4791,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,900.6
AUD/USD,1d,forex,9,1729,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,2,1726,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,368.5
XRP/USD,4h,crypto,9,4795,6,1,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-12,658,3455,682,4,0.4014,-0.004,-0.0391,0.05,-2.347,-1.574,-1.405,-0.007,6025967078.366,0.831,inf,16.1413,-17.7855,6,0.4431,0.0,4,0,trend-only(44%),38.8,0.9531,3.0,TOO_FEW_TRADES,1149.8
BTC/USD,1d,crypto,9,1727,6,0,2025-01-06→2025-03-23 | 2025-03-24→2025-06-08 | 2025-06-09→2025-08-24 | 2025-08-25→2025-11-09 | 2025-11-10→2026-01-25 | 2026-01-26→2026-04-12,81,1543,103,0,0.0,-0.0001,-0.0027,0.0061,-0.253,-0.092,-1.374,-0.0003,0.0,inf,inf,0.0,-1.0553,1,0.0,0.0,0,0,insufficient,38.6,1.0,3.0,TOO_FEW_TRADES,346.9
ARB/USD,4h,crypto,9,4798,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,1022,2921,855,2,0.1306,-0.0018,-0.0183,0.0215,-1.749,-0.778,-3.539,-0.0038,0.398,inf,inf,19.5898,-14.9343,2,0.0889,0.0556,2,1,insufficient,37.4,0.9688,3.0,TOO_FEW_TRADES,1113.5
INJ/USD,1d,crypto,9,1508,6,0,2025-03-08→2025-05-13 | 2025-05-14→2025-07-19 | 2025-07-20→2025-09-24 | 2025-09-25→2025-11-30 | 2025-12-01→2026-02-05 | 2026-02-06→2026-04-13,226,1046,236,0,0.0,-0.0003,-0.0101,0.0225,-0.528,-0.263,-3.756,-0.0004,0.0,inf,inf,0.0,-3.2471,1,0.0,0.0,0,0,insufficient,37.0,1.0,3.0,TOO_FEW_TRADES,335.9
LTC/USD,4h,crypto,9,4796,6,1,2025-09-10→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,636,3520,640,3,0.1238,-0.0037,-0.0354,0.0502,-2.094,-1.349,-3.893,-0.0051,0.337,inf,inf,12.1446,-10.3997,9,0.1071,0.0833,3,0,trend-only(11%),35.3,0.9375,3.0,TOO_FEW_TRADES,817.8
NEAR/USD,4h,crypto,9,4797,6,1,2025-09-10→2025-10-15 | 2025-10-16→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,1015,2780,1002,5,0.2207,-0.0053,-0.0504,0.0607,-2.419,-1.661,-4.885,-0.009,0.604,0.59,1.752,37.0215,-20.5679,6,0.2403,0.0,4,1,trend-only(24%),35.2,0.9844,3.0,- LOSS,1068.3
ATOM/USD,4h,crypto,9,4797,6,1,2025-09-10→2025-10-15 | 2025-10-16→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,790,3266,741,6,0.128,-0.0057,-0.0551,0.0565,-2.529,-2.141,-4.444,-0.0111,0.412,inf,inf,18.2669,-15.3175,8,0.1736,0.0417,5,1,trend-only(17%),33.2,0.9688,3.0,- LOSS,1092.8
XMR/USD,1d,crypto,9,1729,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,132,1475,122,0,0.0,-0.0014,-0.0381,0.0539,-1.131,-0.627,-5.739,-0.0026,0.0,inf,inf,0.0,-14.0232,1,0.0,0.0,0,0,insufficient,33.0,1.0,3.0,TOO_FEW_TRADES,352.4
GRT/USD,1d,crypto,9,1729,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,246,1260,223,1,0.0833,-0.0024,-0.0645,0.0679,-2.612,-1.08,-9.969,-0.0037,0.026,inf,inf,1.5702,-20.6127,2,0.0833,0.0,1,0,insufficient,27.6,1.0,3.0,TOO_FEW_TRADES,435.1
